OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
282368383,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,YES,NO,,,NO,7,8,387094.43314867,157305.3907351,,
282368384,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,YES,NO,,,NO,7,7,386388.43917458,161729.3311025,,
282368385,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,YES,NO,,,NO,2,13,397457.28862708,146924.15777926,,
282368386,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,YES,NO,,,NO,11,4,386847.10375582,159974.10023058,,
282368387,282,47th & Elm St,32021,38.982456,-77.091991,YES,NO,,,NO,5,10,392029.57027544,146062.66507911,,
282368388,283,Dennis Ave & Amherst Ave,32022,39.025387,-77.044563,YES,NO,,,NO,9,6,396141.22801173,150825.37283059,,
282368389,284,Montgomery College / W Campus Dr & Mannakee St,32023,39.095661,-77.159048,YES,NO,,,NO,3,17,386241.41121024,158637.64923132,,
282368390,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,YES,NO,,,NO,4,7,397933.4145005,146865.73881136,,
282368391,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,YES,NO,,,NO,4,11,399028.62364911,145231.02061742,,
282368392,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,YES,NO,,,NO,0,15,399439.20704805,145556.57211519,,
282368393,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,YES,NO,,,NO,10,4,391327.8386053,147164.51103503,,
282368394,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,YES,NO,,,NO,6,5,391315.93174708,146971.81066443,,
282368395,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,YES,NO,,,NO,6,5,391803.8534602,145467.55036065,,
282368396,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,YES,NO,,,NO,10,5,382672.5405711,159359.37466242,,
282368397,292,Taft St & E Gude Dr,32031,39.094103,-77.132954,YES,NO,,,NO,6,9,388498.44225283,158461.08173,,
282368398,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,YES,NO,,,NO,11,4,387766.64569552,156489.26883494,,
282368399,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,YES,NO,,,NO,8,11,384681.99807835,159367.76528288,,
282368400,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,YES,NO,,,NO,7,4,397266.61108519,147938.74232081,,
282368401,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,YES,NO,,,NO,5,10,397781.68474404,147677.15218341,,
282368402,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,YES,NO,,,NO,9,9,385169.33354228,160751.83427443,,
282368403,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,YES,NO,,,NO,4,11,384201.31311065,160268.14020717,,
282368404,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,YES,NO,,,NO,16,1,395660.25194765,139524.3986898,,DC
282368405,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.907333,-77.01536,YES,NO,,,NO,0,19,398667.75120975,137719.43588133,,DC
282368406,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,YES,NO,,,NO,10,1,405910.67420774,136744.99164114,,DC
282368407,304,Deanwood Rec Center,31711,38.908473,-76.933099,YES,NO,,,NO,6,9,405802.5614741,137847.99932996,,DC
282368408,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,YES,NO,,,NO,0,17,397376.94021436,134511.63048068,,DC
